symbol,atomic_number,atomic_radius,atomic_volume,block,boiling_point,density,dipole_polarizability,electron_affinity,electronic_configuration,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,melting_point,name,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,is_radioactive,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy
H,1,79,14.1,s,20.28,0.0708,4.50711,0.754195,1s,1,0.904,0.117,1,3.75,HEX,14.01,Hydrogen,1,1,,0.1815,110,31,32,2.2,13.61,217.998,6.499026705,,25,,288.6,162,1400,108000,0.2638,120,6.51,1.008,,,FALSE,154,,1766,105,3.00E-05,103,103,1,73,18618.05194,1.008,0,1,14.01,2.2,0,0,0,0,1,1,1,20.13,1,,0.0899,0.31,0.666793,73,2.1,13.6,37,1,,13.5984,1,0.25,2.2,13.59843401
He,2,,31.8,s,4.216,0.147,1.38375,-19.7,1s2,2,0.08,,18,3.57,HEX,0.95,Helium,1,2,5.188,0.152,140,28,46,,24.59,,1.42,,,,236.2,153,0.008,7.00E-06,0.442712,143,1.47,4.002602,2.00E-06,,FALSE,134,,1895,112,2.00E-05,1,1,18,0,37236.03556,4.0026,0,2,,0,0,0,0,0,1,0,2,4.07,0,,0.1785,0.28,0.2050522,0,0,24.6,32,0,,24.5873,0,,,24.58738794
Li,3,155,13.1,s,1118.15,0.534,164.1125,0.618049,[He] 2s,1,148,2.89,1,3.49,BCC,553.69,Lithium,2,3,3.489,84.8,182,128,133,0.98,5.392,159.3,1392,150,145,220,245.1,255,20,0.18,0.105093,212,1410,6.94,,,FALSE,220,124,1817,1,0.0005,12,12,1,60,21.54405808,6.94,0,1,453.69,0.98,0,0,0,0,2,1,1,1615,1,1.63,535,1.28,24.335,60,0.98,54.7,134,1,1.63,0.98,1,1.45,0.98,5.391714761
Be,4,112,5,s,3243,1.848,37.74,-2.4,[He] 2s2,2,309,12.21,2,2.29,HEX,1551,Beryllium,2,4,1.824,201,153,96,102,1.57,9.323,324,227,115,105,190,274.5,223,2.8,5.60E-06,0.144986,198,214,9.0121831,5.00E-07,TRUE,FALSE,219,90,1798,75,0.03,77,77,2,0,8.098176455,9.01218,0,2,1560,1.57,0,0,0,0,2,0,2,2743,0,3.32,1848,0.96,5.6,0,1.57,111.5,90,2,3.32,9.3227,0,1.05,1.57,9.322699
B,5,98,4.6,p,3931,2.34,20.5,0.279723,[He] 2s2 2p,3,504.5,23.6,13,8.73,TET,2573,Boron,2,5,1.025,27.4,192,84,85,2.04,12.13,565,99.5,,85,180,408.3,215,10,4.44,0.184886,191,99.2,10.81,,,FALSE,205,78,1808,81,0.1,86,86,13,27,7.297767265,10.81,0,2,2348,2.04,0,1,0,0,2,5,3,4273,1,5.81,2460,0.84,3.03,27,2.04,188,82,3,5.81,8.298,1,0.85,2.04,8.298019
C,6,91,5.3,p,5100,2.25,11.3,1.262119,[He] 2s2 2p2,4,,,14,3.57,DIA,3820,Carbon,2,1,0.711,1.59,170,73,75,2.55,15.05,716.87,46.6,77,70,170,385.1,204,200,28,0.224776,177,47.9,12.011,,,FALSE,190,67,,87,0.2,95,87,14,154,8.825089715,12.011,0,2,3823,2.55,0,2,0,0,2,4,4,4300,2,7.37,2260,0.76,1.67,154,2.55,284.2,77,4,7.37,11.2603,2,0.7,2.55,11.260296
N,7,92,17.3,p,77.4,0.808,7.4,-1.4,[He] 2s2 2p3,5,,,15,4.039,HEX,63.29,Nitrogen,2,1,,0.026,155,71,71,3.04,18.13,472.44,24.2,65,65,160,366,193,19,0.5,0.26493,166,25.7,14.007,,,FALSE,179,60,1772,93,0.2,100,88,15,0,18592.49897,14.007,0,2,63.05,3.04,0,3,0,0,2,3,5,77.21,3,4.92,1.251,0.71,1.1,7,3.04,37.3,75,5,4.92,14.5341,3,0.65,3.04,14.53413
O,8,,14,p,90.19,1.149,5.3,1.4611135,[He] 2s2 2p4,6,,,16,6.83,CUB,54.8,Oxygen,2,1,,0.027,152,66,63,3.44,21.36,249.229,15.6,65,60,155,350,182,461000,857000,0.304575,150,16.7,15.999,,,FALSE,171,57,1774,99,0.2,101,97,16,141,18592.19717,15.999,0,2,54.8,3.44,0,4,0,0,2,2,6,90.1,2,2.6,1.429,0.66,0.802,141,3.44,41.6,73,6,2.6,13.618,2,0.6,3.44,13.618054
F,9,,17.1,p,85.01,1.108,3.74,3.4011897,[He] 2s2 2p5,7,6.54,0.51,17,,MCL,53.53,Fluorine,2,6,,0.028,147,57,64,3.98,24.8,79.335,9.52,67,50,150,336.4,171,585,1.3,0.344443,146,10.2,18.99840316,6.00E-09,TRUE,FALSE,163,59,1886,106,0.08,102,102,17,328,18601.60857,18.9984,0,2,53.5,3.98,0,5,0,0,2,1,7,84.88,1,0.84,1.696,0.57,0.557,328,3.98,696.7,71,7,0.84,8.5,1,0.5,3.98,17.42282
Ne,10,,16.8,p,27.1,1.204,2.6611,,[He] 2s2 2p6,8,1.74,,18,4.43,FCC,48,Neon,2,2,1.029,,154,58,67,,28.31,,6.2,,,,324.3,160,0.005,0.00012,0.38439,158,6.91,20.1797,0.0006,,FALSE,156,96,1898,113,3.00E-05,2,2,18,0,37232.18569,20.1797,0,2,24.56,0,0,6,0,0,2,0,8,26.92,0,0.02,0.9,0.58,0.39432,0,0,21.6,69,0,0.02,21.5645,0,,,21.56454
Na,11,190,23.7,s,1156.1,0.971,162.7,0.547926,[Ne] 3s,1,97.9,2.64,1,4.23,BCC,370.96,Sodium,3,3,1.222,142,227,166,155,0.93,5.14,107.5,1518,177,180,240,298.3,270,23600,10800,0.093214,250,1570,22.98976928,2.00E-08,TRUE,FALSE,225,160,1807,2,0.5,11,11,1,53,39.43832888,22.98977,0,1,370.87,0.93,0,0,0,0,3,1,1,1156,1,1.11,968,1.66,24.11,53,0.93,30.8,154,1,1.11,0.93,1,1.8,0.93,5.1390767
Mg,12,160,14,s,1363,1.738,71.2,,[Ne] 3s2,2,131.8,9.2,2,3.21,HEX,922,Magnesium,3,4,1.025,156,173,141,139,1.31,7.646,147.1,626,142,150,220,302.1,243,23300,1290,0.121644,251,629,24.305,,,FALSE,240,132,1808,76,0.4,73,73,2,0,23.2222931,24.305,0,2,923,1.31,0,0,0,0,3,0,2,1363,0,1.51,1738,1.41,10.76666667,0,1.31,49.5,130,2,1.51,7.6462,0,1.5,1.31,7.646235
Al,13,143,10,p,2740,2.6989,57.8,0.43283,[Ne] 3s2 3p,3,284.1,10.75,13,4.05,FCC,933.5,Aluminum,3,7,0.9,237,184,121,126,1.61,9.539,330.9,528,135,125,210,449.9,236,82300,0.002,0.150078,225,520,26.9815385,7.00E-07,TRUE,FALSE,239,113,1825,82,1,80,78,13,43,16.59442452,26.98154,0,2,933.47,1.61,0,1,0,0,3,5,3,2792,1,3.39,2700,1.21,6.8,43,1.61,72.5,118,3,3.39,5.9857,1,1.25,1.61,5.9857684
Si,14,132,12.1,p,2628,2.33,37.3,1.3895211,[Ne] 3s2 3p2,4,383,50.6,14,5.43,DIA,1683,Silicon,3,5,0.703,149,210,111,116,1.9,11.33,450,305,117,110,210,429.5,229,282000,2.2,0.178503,219,308,28.085,,,FALSE,232,107,1824,88,0.7,85,85,14,134,20.01637772,28.085,0,2,1687,1.9,0,2,0,0,3,4,4,3173,2,4.63,2330,1.11,5.53,134,1.9,99.4,111,4,4.63,1.9,2,1.1,1.9,8.151683
